date,amount,description,reference,debit,credit
2024-01-02,5000.00,Wire Transfer - ABC Corp,WT001,5000.00,
2024-01-03,12500.00,Check Deposit,DEP001,,12500.00
2024-01-05,3000.00,ACH Payment - XYZ Services,ACH001,3000.00,
2024-01-08,10000.00,Wire Transfer - ABC Corp,WT002,10000.00,
2024-01-10,8750.50,Check Deposit,DEP002,,8750.50
2024-01-12,2500.00,ACH Payment - Utilities,ACH002,2500.00,
2024-01-15,15000.00,Wire Transfer - ABC Corp,WT003,15000.00,
2024-01-17,25000.00,Large Deposit,DEP003,,25000.00
2024-01-18,9999.00,Cash Deposit,CASH001,,9999.00
2024-01-19,9998.00,Cash Deposit,CASH002,,9998.00
2024-01-20,9997.00,Cash Deposit,CASH003,,9997.00
2024-01-22,5000.00,Wire Transfer - DEF Inc,WT004,5000.00,
2024-01-25,7500.00,Check Payment,CHK001,7500.00,
2024-01-28,20000.00,Wire Transfer - GHI LLC,WT005,20000.00,
2024-01-30,4500.00,ACH Payment - Insurance,ACH003,4500.00,
2024-02-01,6000.00,Wire Transfer - ABC Corp,WT006,6000.00,
2024-02-03,11000.00,Check Deposit,DEP004,,11000.00
2024-02-05,3500.00,ACH Payment - Rent,ACH004,3500.00,
2024-02-07,8000.00,Wire Transfer - JKL Partners,WT007,8000.00,
2024-02-10,15000.00,Large Check Deposit,DEP005,,15000.00
2024-02-12,9999.00,Cash Deposit,CASH004,,9999.00
2024-02-14,2000.00,ACH Payment - Supplies,ACH005,2000.00,
2024-02-15,10000.00,Wire Transfer - ABC Corp,WT008,10000.00,
2024-02-17,5500.00,Check Deposit,DEP006,,5500.00
2024-02-20,4000.00,ACH Payment - Services,ACH006,4000.00,
2024-02-22,12000.00,Wire Transfer - MNO Group,WT009,12000.00,
2024-02-25,7000.00,Check Payment,CHK002,7000.00,
2024-02-28,18000.00,End of Month Wire,WT010,18000.00,
