invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,description,status,paid_date,paid_amount
INV-001,V001,ABC Corp,2024-01-01,2024-01-31,5000.00,Consulting Services January,paid,2024-01-02,5000.00
INV-002,V001,ABC Corp,2024-01-05,2024-02-04,10000.00,Project Alpha Phase 1,paid,2024-01-08,10000.00
INV-003,V002,XYZ Services,2024-01-03,2024-02-02,3000.00,IT Support Services,paid,2024-01-05,3000.00
INV-004,V003,Utilities Inc,2024-01-10,2024-02-09,2500.00,Electricity Q1,paid,2024-01-12,2500.00
INV-005,V001,ABC Corp,2024-01-12,2024-02-11,15000.00,Project Alpha Phase 2,paid,2024-01-15,15000.00
INV-006,V004,DEF Inc,2024-01-18,2024-02-17,5000.00,Marketing Materials,paid,2024-01-22,5000.00
INV-007,V005,Office Supplies Co,2024-01-20,2024-02-19,7500.00,Office Equipment,paid,2024-01-25,7500.00
INV-008,V006,GHI LLC,2024-01-22,2024-02-21,20000.00,Legal Services,paid,2024-01-28,20000.00
INV-009,V007,Insurance Corp,2024-01-25,2024-02-24,4500.00,Liability Insurance,paid,2024-01-30,4500.00
INV-010,V001,ABC Corp,2024-01-28,2024-02-27,6000.00,Consulting Services February,paid,2024-02-01,6000.00
INV-011,V008,Property Management,2024-02-01,2024-03-02,3500.00,February Rent,paid,2024-02-05,3500.00
INV-012,V009,JKL Partners,2024-02-03,2024-03-04,8000.00,Advisory Services,paid,2024-02-07,8000.00
INV-013,V001,ABC Corp,2024-02-10,2024-03-11,10000.00,Project Beta Phase 1,paid,2024-02-15,10000.00
INV-014,V010,Supplies Direct,2024-02-12,2024-03-13,2000.00,Office Supplies,paid,2024-02-14,2000.00
INV-015,V011,MNO Group,2024-02-18,2024-03-19,12000.00,Strategic Consulting,paid,2024-02-22,12000.00
INV-016,V005,Office Supplies Co,2024-02-20,2024-03-21,7000.00,Furniture Purchase,paid,2024-02-25,7000.00
INV-017,V012,Tech Services LLC,2024-02-22,2024-03-23,18000.00,Software Development,paid,2024-02-28,18000.00
INV-018,V013,Shell Company A,2024-01-15,2024-02-14,25000.00,Consulting Services,paid,2024-01-17,25000.00
INV-019,V014,Shell Company B,2024-02-08,2024-03-09,15000.00,Advisory Services,paid,2024-02-10,15000.00
INV-020,V001,ABC Corp.,2024-02-25,2024-03-26,8000.00,Project Beta Phase 2,pending,,
